className,bug,mutationsTotal,mutationsKilled,mutationsSurvived
org.aspectj.weaver.reflect.ReflectionShadow,0,29,23,6
org.aspectj.internal.tools.build.Messager,0,9,0,6
org.aspectj.weaver.Checker,5,90,38,36
org.aspectj.weaver.TypeVariable,2,182,35,23
org.aspectj.ajdt.internal.compiler.lookup.EclipseSourceLocation,2,102,9,28
org.aspectj.weaver.patterns.WithincodePointcut,4,32,8,24
org.aspectj.weaver.loadtime.JRockitAgent,1,1,0,1
org.aspectj.weaver.tools.CommonsTrace,4,12,0,12
org.aspectj.weaver.bcel.BcelRenderer,2,35,18,1
org.aspectj.weaver.patterns.SignaturePattern,8,342,148,90
org.aspectj.util.CharOperation,0,72,39,13
org.aspectj.ajdt.internal.compiler.ast.InterSuperFixerVisitor,2,35,0,11
org.aspectj.ajdt.internal.compiler.ast.AtAspectJAnnotationFactory,2,602,62,83
org.aspectj.weaver.ReferenceType,9,338,115,62
org.aspectj.weaver.patterns.ExactTypePattern,9,153,70,55
org.aspectj.tools.ajdoc.AjdocOutputChecker,0,208,0,137
org.aspectj.weaver.WeaverMetrics,0,90,5,33
org.aspectj.util.PartialOrder,0,17,13,4
org.aspectj.weaver.patterns.CflowPointcut,16,85,20,41
org.aspectj.org.eclipse.jdt.core.dom.DeclareDeclaration,2,12,0,3
org.aspectj.weaver.bcel.BcelCflowCounterFieldAdder,2,19,3,13
org.aspectj.org.eclipse.jdt.core.dom.ReferencePointcut,2,21,5,0
org.aspectj.runtime.reflect.MethodSignatureImpl,2,7,1,5
org.aspectj.weaver.patterns.SimpleScope,1,37,14,13
org.aspectj.ajde.core.internal.AjdeCoreBuildManager,0,125,36,77
org.aspectj.ajdt.internal.compiler.ast.ThisJoinPointVisitor,2,164,63,72
org.aspectj.bridge.MessageUtil,2,382,35,218
org.aspectj.weaver.bcel.BcelObjectType,9,394,170,123
org.aspectj.weaver.patterns.PerObject,3,83,15,68
org.aspectj.asm.internal.JDTLikeHandleProvider,0,175,34,97
org.aspectj.ajdt.internal.compiler.ast.PseudoTokens,1,46,11,27
org.aspectj.ajde.ui.StructureView,1,13,0,1
org.aspectj.internal.lang.reflect.InterTypeMethodDeclarationImpl,0,35,10,2
org.aspectj.ajdt.internal.compiler.lookup.AjTypeConstants,1,84,5,10
org.aspectj.weaver.patterns.PointcutRewriter,1,152,58,29
org.aspectj.weaver.patterns.IfPointcut,13,149,3,86
org.aspectj.internal.tools.ant.taskdefs.BuildModule,0,24,7,17
org.aspectj.weaver.patterns.ModifiersPattern,3,61,31,24
org.aspectj.weaver.patterns.ThrowsPattern,4,77,43,32
org.aspectj.weaver.patterns.HandlerPointcut,4,42,19,23
org.aspectj.org.eclipse.jdt.core.dom.AndPointcut,2,35,6,0
org.aspectj.ajdt.internal.compiler.lookup.InlineAccessFieldBinding,2,7,0,4
org.aspectj.weaver.bcel.BcelAdvice,16,353,160,83
org.aspectj.weaver.patterns.TypeVariablePattern,0,133,24,38
org.aspectj.ajdt.internal.core.builder.AjBuildManager,2,536,77,251
org.aspectj.ajdt.internal.compiler.lookup.PrivilegedFieldBinding,2,8,0,5
org.aspectj.weaver.patterns.ArgsAnnotationPointcut,4,62,28,6
org.aspectj.weaver.ConcreteTypeMunger,1,48,5,21
org.aspectj.ajdt.internal.core.builder.AjState,2,494,51,114
org.aspectj.org.eclipse.jdt.core.dom.DeclareAtConstructorDeclaration,2,11,7,4
org.aspectj.bridge.Message,5,72,46,17
org.aspectj.org.eclipse.jdt.core.dom.AroundAdviceDeclaration,2,85,13,16
org.aspectj.internal.tools.ant.taskdefs.Checklics,1,129,14,76
org.aspectj.weaver.tools.Jdk14Trace,5,22,0,15
org.aspectj.tools.ajdoc.HtmlDecorator,14,461,0,434
org.aspectj.ajde.ui.AbstractIconRegistry,1,31,0,31
org.aspectj.weaver.Lint,10,28,6,9
org.aspectj.weaver.patterns.ExposedState,2,23,6,3
org.aspectj.weaver.patterns.PointcutEvaluationExpenseComparator,0,102,52,41
org.aspectj.ajde.ui.BuildConfigNode,2,20,0,9
org.aspectj.weaver.loadtime.Aj,14,44,0,41
org.aspectj.ajdt.internal.compiler.ast.AstUtil,1,234,49,127
org.aspectj.internal.tools.build.Builder,0,236,27,79
org.aspectj.ajdt.internal.compiler.lookup.PrivilegedHandler,2,19,0,18
org.aspectj.org.eclipse.jdt.core.dom.DefaultTypePattern,2,4,2,2
org.aspectj.org.eclipse.jdt.core.dom.DefaultPointcut,2,4,1,0
org.aspectj.weaver.bcel.BcelWorld,12,351,61,70
org.aspectj.ajdt.internal.compiler.ast.AspectDeclaration,2,210,61,97
org.aspectj.weaver.bcel.ClassPathManager,11,43,11,9
org.aspectj.weaver.UnresolvedType,6,448,263,100
org.aspectj.ajdt.internal.compiler.ast.AspectClinit,2,4,2,2
org.aspectj.ajdt.internal.compiler.ast.IfPseudoToken,2,36,0,33
org.aspectj.weaver.patterns.OrPointcut,4,35,15,20
org.aspectj.weaver.Iterators,0,2,1,1
org.aspectj.weaver.patterns.ThisOrTargetPointcut,6,65,28,36
org.aspectj.ajdt.internal.compiler.ast.Proceed,2,56,19,34
org.aspectj.weaver.reflect.Java15GenericSignatureInformationProvider,0,17,9,5
org.aspectj.weaver.PerObjectInterfaceTypeMunger,6,61,3,30
org.aspectj.ajdt.internal.compiler.ast.AddAtAspectJAnnotationsVisitor,2,19,5,10
org.aspectj.weaver.loadtime.ClassLoaderWeavingAdaptor,28,361,11,79
org.aspectj.weaver.patterns.PerSingleton,5,29,13,15
org.aspectj.bridge.SourceLocation,4,55,23,18
org.aspectj.weaver.bcel.AtAjAttributes,11,661,42,83
org.aspectj.org.eclipse.jdt.core.dom.NotPointcut,2,19,1,0
org.aspectj.weaver.patterns.PerCflow,2,63,3,59
org.aspectj.org.eclipse.jdt.core.dom.DeclareAtTypeDeclaration,2,11,7,4
org.aspectj.internal.lang.reflect.PointcutImpl,0,22,5,7
org.aspectj.weaver.bcel.BcelFieldRef,0,9,3,3
org.aspectj.weaver.patterns.TypePattern,10,73,36,15
org.aspectj.weaver.patterns.DeclareErrorOrWarning,2,38,9,10
org.aspectj.weaver.reflect.JavaLangTypeToResolvedTypeConverter,0,54,24,20
org.aspectj.ajdt.internal.core.builder.IncrementalStateManager,1,30,0,18
org.aspectj.org.eclipse.jdt.core.dom.DeclareAnnotationDeclaration,2,16,4,12
org.aspectj.weaver.patterns.TypePatternList,3,205,117,60
org.aspectj.ajdt.internal.core.builder.AjCompilerOptions,2,341,91,101
org.aspectj.asm.internal.ProgramElement,8,210,36,74
org.aspectj.weaver.patterns.WildTypePattern,18,876,488,171
org.aspectj.ajdt.internal.compiler.parser.DeclarationFactory,2,27,7,20
org.aspectj.weaver.bcel.BcelMethod,8,191,79,67
org.aspectj.weaver.bcel.Utility,11,382,132,92
org.aspectj.weaver.AdviceKind,1,192,16,0
org.aspectj.ajdt.internal.compiler.AjPipeliningCompilerAdapter,2,250,64,126
org.aspectj.weaver.CrosscuttingMembers,8,146,34,68
org.aspectj.weaver.patterns.DeclareAnnotation,1,121,27,73
org.aspectj.ajdt.internal.compiler.lookup.InterTypeScope,2,23,7,5
org.aspectj.ajdt.internal.compiler.lookup.EclipseSourceType,2,446,44,91
org.aspectj.org.eclipse.jdt.core.dom.PerCflow,2,22,3,0
org.aspectj.ajdt.internal.compiler.ast.InterTypeConstructorDeclaration,2,168,1,103
org.aspectj.ajde.IconRegistry,0,6,0,5
org.aspectj.ajdt.ajc.AjdtCommand,2,68,19,25
org.aspectj.internal.lang.reflect.AdviceImpl,0,75,12,19
org.aspectj.weaver.bcel.PoliceExtensionUse,0,12,2,7
org.aspectj.weaver.patterns.BindingAnnotationTypePattern,1,45,4,4
org.aspectj.tools.ajdoc.CompilerWrapper,0,10,3,7
org.aspectj.org.eclipse.jdt.core.dom.AspectDeclaration,2,46,18,14
org.aspectj.weaver.patterns.KindedPointcut,8,125,51,70
org.aspectj.org.eclipse.jdt.core.dom.DeclareAtMethodDeclaration,2,11,7,4
org.aspectj.ajdt.internal.compiler.InterimCompilationResult,1,15,7,3
org.aspectj.weaver.patterns.WithinPointcut,6,45,20,13
org.aspectj.org.eclipse.jdt.core.dom.BeforeAdviceDeclaration,2,2,2,0
org.aspectj.weaver.internal.tools.PointcutDesignatorHandlerBasedPointcut,0,12,8,4
org.aspectj.runtime.reflect.Factory,2,84,17,22
org.aspectj.weaver.patterns.BasicToken,0,10,4,5
org.aspectj.weaver.ExtensibleURLClassLoader,2,17,15,2
org.aspectj.weaver.AnnotationX,1,87,11,12
org.aspectj.weaver.reflect.ReflectionBasedReferenceTypeDelegateFactory,2,51,25,20
org.aspectj.internal.lang.reflect.InterTypeDeclarationImpl,0,1,1,0
org.aspectj.weaver.tools.WeavingAdaptor,23,130,35,54
org.aspectj.weaver.loadtime.definition.DocumentParser,4,86,45,33
org.aspectj.ajdt.internal.compiler.ast.ValidateAtAspectJAnnotationsVisitor,2,309,6,26
org.aspectj.tools.ajc.Ajc,2,190,91,47
org.aspectj.ajdt.internal.compiler.ast.SuperFixerVisitor,2,12,0,11
org.aspectj.weaver.ResolvedTypeMunger,3,147,47,38
org.aspectj.weaver.NewMethodTypeMunger,2,75,7,32
org.aspectj.org.eclipse.jdt.core.dom.OrPointcut,2,33,2,0
org.aspectj.ajdt.internal.core.builder.EmacsStructureModelManager,2,9,2,7
org.aspectj.weaver.patterns.ReferencePointcut,13,180,64,83
org.aspectj.weaver.AjcMemberMaker,8,314,56,148
org.aspectj.weaver.reflect.ReflectionBasedResolvedMemberImpl,0,2,2,0
org.aspectj.weaver.WeaverMessages,7,42,11,4
org.aspectj.internal.lang.reflect.InterTypeConstructorDeclarationImpl,0,46,27,2
org.aspectj.org.eclipse.jdt.core.dom.PerObject,2,22,3,0
org.aspectj.weaver.patterns.BasicTokenSource,1,138,85,50
org.aspectj.util.ConfigParser,4,86,48,15
org.aspectj.weaver.patterns.NotPointcut,4,14,11,3
org.aspectj.weaver.patterns.FormalBinding,0,15,0,6
org.aspectj.tools.ajdoc.StructureUtil,4,75,0,43
org.aspectj.weaver.patterns.AnnotationPatternList,3,117,37,12
org.aspectj.weaver.patterns.NamePattern,3,185,148,28
org.aspectj.ajde.internal.LstBuildConfigManager,2,74,0,52
org.aspectj.util.LangUtil,1,613,235,157
org.aspectj.weaver.bcel.BcelField,4,78,24,19
org.aspectj.weaver.internal.tools.PointcutExpressionImpl,0,5,2,3
org.aspectj.util.TypeSafeEnum,0,8,3,5
org.aspectj.bridge.MessageHandler,0,92,63,26
org.aspectj.util.FuzzyBoolean,0,1,1,0
org.aspectj.ajdt.internal.compiler.lookup.EclipseShadow,2,23,1,12
org.aspectj.org.eclipse.jdt.core.dom.DeclareWarningDeclaration,2,32,9,11
org.aspectj.ajde.ui.swing.OptionsFrame,1,335,0,315
org.aspectj.weaver.patterns.DeclareSoft,4,47,17,24
org.aspectj.weaver.patterns.Bindings,0,65,27,8
org.aspectj.weaver.patterns.OrTypePattern,3,99,22,49
org.aspectj.weaver.bcel.BcelWeaver,32,613,207,210
org.aspectj.weaver.bcel.BcelGenericSignatureToTypeXConverter,1,70,29,20
org.aspectj.org.eclipse.jdt.core.dom.PointcutDesignator,2,6,0,3
org.aspectj.ajdt.internal.compiler.lookup.EclipseScope,2,35,15,20
org.aspectj.weaver.loadtime.definition.Definition,3,24,7,17
org.aspectj.weaver.bcel.BcelShadow,39,1184,499,356
